category_id,category_code
2145603402644587402,country_yard.watering
2146430820443751321,apparel.shoes.ballet_shoes
2146551843914777018,apparel.costume
2146551844904632788,apparel.tshirt
2146551846456525274,apparel.costume
2146660887002349890,apparel.dress
2146660887094624580,apparel.jeans
2146660887203676486,apparel.costume
2146660887346282824,apparel.tshirt
2147123662858224552,auto.accessories.anti_freeze
2147123663017608108,apparel.glove
2149484526546452752,apparel.trousers
2150829948548416122,construction.tools.soldering
2151564095713706619,auto.accessories.compressor
2155114835690390267,apparel.shirt
2155114836386644747,apparel.shirt
2156066252290785356,apparel.glove
2159419215583380463,accessories.umbrella
2159535995811266819,apparel.glove
2162513070503494350,construction.tools.welding
2163334577303585455,apparel.shoes
2163334578259886795,apparel.shoes
2164367423673730033,apparel.shoes
2164478103445832281,apparel.shoes
2164478104343413363,apparel.shoes
2165087460176953468,auto.accessories.compressor
2166064797106307229,sport.trainer
2166064855264526831,apparel.jumper
2166891935262835680,apparel.jumper
2171876313638371452,furniture.living_room.cabinet
2171876348610478994,apparel.shirt
2171876348702753684,apparel.skirt
2171876361721872578,apparel.costume
2172371118332051820,apparel.shoes
2172371122509578610,apparel.shoes
2172371436436455782,electronics.tablet
2173216763896922288,apparel.shirt
2173216765583032544,apparel.shirt
2173325534287627249,apparel.costume
2176851562834428674,construction.tools.welding
2179887839699796424,apparel.shoes
2179887840530268640,apparel.shoes
2181922982354485892,sport.ski
2182780329306096562,apparel.trousers
2184976688121643656,apparel.sock
2185524688778691138,appliances.kitchen.fryer
2186437318997443318,furniture.bathroom.bath
2186437444507796404,furniture.bedroom.pillow
2186437842094261028,apparel.jumper
2186437842832458550,apparel.jumper
2187707789055361298,construction.tools.screw
2191335803840364588,construction.tools.drill
2195638368530858580,apparel.tshirt
2195742276976640352,apparel.dress
2195849985495400537,apparel.skirt
2195849987374448765,apparel.trousers
2200173753021760025,apparel.trousers
2200173753902563889,apparel.trousers
2201756379071382086,apparel.pajamas
2202945713069883947,computers.desktop
2210393265583161997,apparel.dress
2214602531194012514,accessories.bag
2215448776905064870,apparel.pajamas
2222533230198784741,apparel.underwear
2232732061737681738,computers.peripherals.monitor
2232732061804790604,furniture.bedroom.bed
2232732062048060242,appliances.kitchen.washer
2232732062115169108,computers.peripherals.printer
2232732062190666582,appliances.kitchen.hood
2232732064673694591,appliances.kitchen.dishwasher
2232732065311228801,appliances.kitchen.juicer
2232732067399992229,computers.ebooks
2232732069102879671,appliances.kitchen.kettle
2232732069279040441,auto.accessories.alarm
2232732070637994954,furniture.kitchen.table
2232732070738658251,furniture.bedroom.bed
2232732071208420303,furniture.living_room.chair
2232732071460078545,kids.toys
2232732073574007777,furniture.kitchen.chair
2232732074228319207,kids.toys
2232732074379314153,appliances.personal.hair_cutter
2232732074664526829,computers.peripherals.camera
2232732074815521775,computers.peripherals.mouse
2232732074991682545,computers.peripherals.keyboard
2232732077902528542,appliances.personal.scales
2232732078733000751,electronics.telephone
2232732079009824823,kids.skates
2232732079362146365,electronics.audio.acoustic
2232732079588638785,apparel.glove
2232732079706079299,sport.bicycle
2232732079823519813,sport.bicycle
2232732080201007182,construction.tools.drill
2232732081585127530,construction.components.faucet
2232732081702568046,furniture.bathroom.toilet
2232732081895506036,furniture.bedroom.bed
2232732081979392118,furniture.living_room.cabinet
2232732082063278200,electronics.clocks
2232732082121998458,kids.toys
2232732082390433922,electronics.audio.subwoofer
2232732082734366859,electronics.audio.acoustic
2232732082809864333,electronics.audio.music_tools.piano
2232732082868584591,electronics.audio.music_tools.piano
2232732082935693457,accessories.bag
2232732083128631445,furniture.living_room.chair
2232732083229294743,furniture.kitchen.chair
2232732083824885927,kids.fmcg.diapers
2232732083992658091,computers.peripherals.printer
2232732084546306225,furniture.living_room.chair
2232732084688912563,furniture.kitchen.chair
2232732084923793591,furniture.kitchen.table
2232732085041234105,apparel.shirt
2232732085150286011,computers.desktop
2232732085267726525,furniture.kitchen.table
2232732085393555647,furniture.living_room.sofa
2232732085477441729,furniture.kitchen.table
2232732085729099973,computers.desktop
2232732085846540487,construction.tools.generator
2232732085997535433,accessories.bag
2232732086089810123,electronics.smartphone
2232732086173696205,apparel.tshirt
2232732086257582287,electronics.tablet
2232732086358245585,computers.peripherals.printer
2232732086500851925,apparel.scarf
2232732086651846873,apparel.shoes
2232732086928670945,electronics.camera.photo
2232732086987391203,apparel.shoes.sandals
2232732087272603883,construction.tools.saw
2232732087339712749,appliances.ironing_board
2232732087742365937,construction.tools.saw
2232732087834640627,appliances.kitchen.grill
2232732088413454589,furniture.universal.light
2232732089042600205,furniture.bedroom.bed
2232732089109709071,apparel.shoes
2232732089302647060,furniture.bedroom.blanket
2232732089369755926,accessories.bag
2232732089587859740,appliances.personal.hair_cutter
2232732089663357214,computers.peripherals.mouse
2232732090124730664,furniture.bedroom.pillow
2232732090409943342,furniture.bedroom.pillow
2232732090485440816,furniture.bedroom.pillow
2232732090569326898,appliances.personal.massager
2232732090669990196,furniture.living_room.chair
2232732090980368698,furniture.living_room.sofa
2232732091307524418,appliances.kitchen.refrigerators
2232732091391410500,appliances.kitchen.blender
2232732091718566220,appliances.kitchen.refrigerators
2232732091961835858,appliances.environment.air_heater
2232732092028944724,construction.tools.saw
2232732092087664982,electronics.audio.microphone
2232732092221882714,electronics.audio.microphone
2232732092297380188,appliances.kitchen.washer
2232732092490318178,computers.desktop
2232732092565815652,appliances.kitchen.oven
2232732092624535910,furniture.universal.light
2232732092700033384,furniture.universal.light
2232732092767142250,furniture.universal.light
2232732093077520756,construction.tools.light
2232732093144629622,construction.tools.light
2232732093345956218,construction.tools.light
2232732093421453692,furniture.bedroom.blanket
2232732093681500546,auto.accessories.compressor
2232732093857661318,furniture.bedroom.blanket
2232732093941547400,furniture.bedroom.blanket
2232732094025433482,furniture.bedroom.blanket
2232732094302257552,furniture.kitchen.table
2232732094386143634,computers.components.power_supply
2232732095074009504,construction.tools.welding
2232732095392776612,sport.trainer
2232732095485051302,sport.trainer
2232732095568937384,sport.trainer
2232732096995000776,sport.trainer
2232732097087275466,sport.trainer
2232732097179550156,sport.trainer
2232732097255047630,accessories.bag
2232732097330545104,accessories.bag
2232732097397653970,accessories.wallet
2232732097473151444,apparel.belt
2232732097548648918,apparel.shoes
2232732097582203351,apparel.shoes
2232732097649312217,apparel.shoes.keds
2232732097708032475,apparel.shoes
2232732097775141341,apparel.shoes.keds
2232732097842250207,apparel.shoes.keds
2232732097934524897,apparel.shoes.keds
2232732097993245155,apparel.shoes.sandals
2232732098077131237,apparel.shoes.moccasins
2232732098135851495,apparel.shoes
2232732098228126185,apparel.shoes
2232732098303623659,apparel.shoes.espadrilles
2232732098370732525,apparel.shoes.moccasins
2232732098446229999,apparel.shoes.sandals
2232732098546893297,apparel.shoes.keds
2232732098614002163,apparel.shoes.sandals
2232732098706276853,apparel.shoes
2232732098806940151,apparel.shoes.moccasins
2232732099025043963,apparel.shoes.moccasins
2232732099125707261,sport.trainer
2232732099243147775,furniture.living_room.chair
2232732099436085763,construction.tools.welding
2232732099519971845,construction.tools.welding
2232732099595469319,furniture.living_room.chair
2232732099670966793,appliances.personal.massager
2232732099754852875,appliances.personal.massager
2232732099838738957,appliances.personal.massager
2232732099981345295,appliances.personal.massager
2232732100056842769,appliances.personal.massager
2232732100132340243,appliances.personal.massager
2232732100224614933,country_yard.cultivator
2232732100342055447,appliances.personal.massager
2232732100434330137,appliances.personal.massager
2232732100534993435,appliances.personal.massager
2232732100660822557,country_yard.cultivator
2232732100769874463,appliances.personal.massager
2232732100870537761,appliances.personal.massager
2232732100954423843,appliances.personal.massager
2232732101063475749,appliances.environment.vacuum
2232732101164139047,appliances.environment.vacuum
2232732101239636521,computers.components.cooler
2232732101323522603,apparel.shoes.slipons
2232732101407408685,apparel.shoes.slipons
2232732101575180847,computers.components.cooler
2232732101667455537,apparel.shoes.slipons
2232732101919113783,furniture.bedroom.blanket
2232732102019777081,apparel.shoes.keds
2232732102103663163,furniture.bedroom.blanket
2232732102204326461,furniture.bedroom.blanket
2232732102304989759,apparel.shoes.slipons
