brand,date,price
audac,2019-10-20,592.24
audac,2019-10-21,815.34
audac,2019-10-22,418.33
audac,2019-10-23,540.54
audac,2019-10-24,180.18
audac,2019-10-25,716.29
audac,2019-10-26,338.19
audac,2019-10-27,418.33
audac,2019-10-28,618.09
audac,2019-10-29,870.62
audac,2019-10-30,173.91
audac,2019-10-31,239.99
audio-technica,2019-10-01,8780.4
audio-technica,2019-10-02,9043.24
audio-technica,2019-10-03,7662.63
audio-technica,2019-10-04,10748.86
audio-technica,2019-10-05,9985.2
audio-technica,2019-10-06,9669.93
audio-technica,2019-10-07,6978.75
audio-technica,2019-10-08,10993.08
audio-technica,2019-10-09,10980.63
audio-technica,2019-10-10,9793.1
audio-technica,2019-10-11,22448.33
audio-technica,2019-10-12,10592.5
audio-technica,2019-10-13,12839.41
audio-technica,2019-10-14,15005.76
audio-technica,2019-10-15,9768.96
audio-technica,2019-10-16,8629.82
audio-technica,2019-10-17,9490.92
audio-technica,2019-10-18,12088.19
audio-technica,2019-10-19,12001.63
audio-technica,2019-10-20,12643.45
audio-technica,2019-10-21,10781.76
audio-technica,2019-10-22,9526.27
audio-technica,2019-10-23,11539.01
audio-technica,2019-10-24,5868.67
audio-technica,2019-10-25,7740.83
audio-technica,2019-10-26,9455.9
audio-technica,2019-10-27,11162.4
audio-technica,2019-10-28,7876.87
audio-technica,2019-10-29,9227.7
audio-technica,2019-10-30,7983.75
audio-technica,2019-10-31,10060.58
audiotop,2019-10-12,72.07
audiotop,2019-10-15,72.07
audiotop,2019-10-20,72.07
audiotop,2019-10-28,72.07
audiotop,2019-10-29,288.28
audiotop,2019-10-30,72.07
audiotop,2019-10-31,72.07
audison,2019-10-01,11447.46
audison,2019-10-02,12697.94
audison,2019-10-03,8195.39
audison,2019-10-04,15074.23
audison,2019-10-05,9610.77
audison,2019-10-06,10014.59
audison,2019-10-07,9279.54
audison,2019-10-08,9856.13
audison,2019-10-09,18065.32
audison,2019-10-10,14090.92
audison,2019-10-11,23476.2
audison,2019-10-12,14358.45
audison,2019-10-13,15199.49
audison,2019-10-14,7208.849999999999
audison,2019-10-15,9196.4
audison,2019-10-16,20737.15
audison,2019-10-17,17098.28
audison,2019-10-18,13825.66
audison,2019-10-19,8766.55
audison,2019-10-20,17898.739999999998
audison,2019-10-21,13346.28
audison,2019-10-22,13733.04
audison,2019-10-23,10747.94
audison,2019-10-24,8489.28
audison,2019-10-25,14259.95
audison,2019-10-26,7607.84
audison,2019-10-27,12394.8
audison,2019-10-28,14232.17
audison,2019-10-29,23723.08
audison,2019-10-30,9672.55
audison,2019-10-31,6367.68
ava,2019-10-01,447.81000000000006
ava,2019-10-02,514.76
ava,2019-10-03,149.27
ava,2019-10-04,149.27
ava,2019-10-05,1791.34
ava,2019-10-06,447.81000000000006
ava,2019-10-07,149.27
ava,2019-10-08,231.64
ava,2019-10-10,746.35
ava,2019-10-11,149.27
ava,2019-10-13,597.08
ava,2019-10-14,447.81000000000006
ava,2019-10-15,530.1800000000001
ava,2019-10-16,746.35
ava,2019-10-17,257.38
ava,2019-10-19,1060.36
ava,2019-10-20,2434.73
ava,2019-10-22,149.27
ava,2019-10-23,597.08
ava,2019-10-26,298.54
ava,2019-10-27,149.27
ava,2019-10-29,746.35
